Year,Ages,N_Initial_Age,AgeSize_Mean,AgeSize_Std,Size_Classes,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack,Capture_Back,N_BeforePacking_AddAge0s,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut,Capture_Out,PackingDeaths_Immigration,N_Immigration,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
118,0|1|2|3|4|5|6|7|,0|1757|350|171|108|61|40|18|,nan|154.1734723842912|192.23770726211185|212.0694516658333|226.40135867294669|227.06183368451147|230.4882009890428|230.69832085990402|,nan|18.55423073983988|26.03717491803553|22.110726613912668|16.777100647906448|13.423724885469328|10.790678794751695|14.965617327312186|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,0|114|1324|293|432|251|73|18|,nan|119.31909065607492|149.04735892560979|170.58448244596107|201.28234940576604|223.75253835585966|240.29136419815958|251.36758867921404|,nan|4.892053499066858|8.053288443114836|7.582056777650638|8.20446196468819|5.806411841916209|3.011494229367096|6.841491669097676|,0|200|6162|4326|380|369|112|66|,0|192|5764|3092|62|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|23|,0|0|0|0|1|11|6|5|,0|120|5150|5247|494|379|121|81|,0|0|0|0|0|0|0|0|,0|0|3796|4939|82|131|50|55|,0|120|1354|308|412|248|71|26|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
119,0|1|2|3|4|5|6|7|,0|1767|345|191|105|64|42|25|,nan|153.1602894548611|187.78681019795894|216.48307583263832|224.88294536013032|229.96723116572434|229.38106088950934|231.28737293104928|,nan|18.00976236508968|27.076043350310396|18.107479809564463|14.112725797059396|13.094704115600866|11.581686308077145|10.910488392182684|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,0|120|1354|308|412|248|71|26|,nan|119.91410340456459|148.63865221786975|170.6262828467595|201.3398802656663|225.23811803164526|239.8805152505159|248.99331748809544|,nan|5.834776997450161|8.282013756539014|7.4108844570663805|8.347171017180134|5.590421709728659|2.779701908136975|3.4960703499362555|,0|205|6047|4479|377|340|117|84|,0|197|5622|3230|60|1|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|33|,0|0|0|0|2|11|14|6|,0|106|4728|5599|590|379|111|103|,0|0|0|0|0|0|0|0|,0|0|3185|5407|145|124|35|77|,0|106|1543|192|445|255|76|26|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
120,0|1|2|3|4|5|6|7|,0|1869|351|183|116|57|43|24|,nan|153.50681532000146|186.84224410022802|214.23433035390656|226.34315687622012|229.97688444243465|233.89935811322644|228.40989359209797|,nan|17.951394877919967|27.37560717474435|21.278058716035744|14.151311797052939|13.035361213642702|11.643295974802903|11.776225287746529|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,0|106|1543|192|445|255|76|26|,nan|120.30110370170604|149.11221444931334|170.6580418187198|199.743745665908|224.90318510124635|239.73905069417287|251.53429350759626|,nan|4.27981936172361|7.896895785356682|7.711348133325713|7.998633079502095|5.655815640252865|2.680873739518833|3.7958125437555807|,0|7|439|1346|321|324|134|72|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|33|,0|0|0|0|2|15|9|7|,0|3|329|1417|296|347|132|86|,0|0|0|0|0|0|0|0|,0|0|6|196|28|148|66|66|,0|3|323|1221|268|199|66|20|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
121,0|1|2|3|4|5|6|7|,0|0|1624|268|104|60|21|23|,nan|nan|173.36258762733272|197.6960468134012|217.60643799945123|228.33623679188022|233.9203512777008|230.4703429118552|,nan|nan|18.330089566993113|26.581905062919642|22.344855591116183|14.255228165626518|16.629988157363904|11.837653230931217|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,0|3|323|1221|268|199|66|20|,nan|120.89800754371953|149.75677334890744|173.42895419981656|205.54752829420661|224.33514455469322|239.73725927981238|251.23982610183526|,nan|3.4282624071562995|8.606715849884472|7.102900760692297|7.512428879743747|5.867650612287901|2.8785890727694676|6.037123612451579|,0|0|118|973|570|271|98|70|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|20|,0|0|0|0|3|6|6|5|,0|0|85|825|732|254|104|80|,0|0|0|0|0|0|0|0|,0|0|0|92|233|74|35|60|,0|0|85|733|499|180|69|20|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
122,0|1|2|3|4|5|6|7|,0|0|0|1263|197|72|39|15|,nan|nan|nan|187.84728583123217|203.6530425176756|220.59544960815117|230.20861200051368|230.42252005656573|,nan|nan|nan|18.23999234251105|25.005428016830916|22.76502631126427|13.805592111048194|11.484265842216573|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,0|0|85|733|499|180|69|20|,nan|nan|151.58389032395613|179.62477729032383|198.18407341487932|226.13468665653352|239.6253978007407|250.31381548440808|,nan|nan|6.921684053900026|7.469771488919597|6.476297162308858|5.493367931848311|2.7309907172307875|3.9346382171047165|,0|0|35|409|806|177|96|63|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|22|,0|0|0|0|2|7|8|5|,0|0|29|359|826|186|92|72|,0|0|0|0|0|0|0|0|,0|0|0|7|301|39|32|60|,0|0|29|352|525|147|60|12|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
123,0|1|2|3|4|5|6|7|,0|0|0|0|917|141|48|19|,nan|nan|nan|nan|196.08611744249797|208.30525131925475|219.46395024908213|227.60417421191653|,nan|nan|nan|nan|17.894266696663472|25.18227502290491|23.02602976458937|11.232025667863512|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,0|0|29|352|525|147|60|12|,nan|nan|152.2048808248325|180.40305226060025|201.49501972067532|223.87754285128588|240.05652177752899|252.22230449759914|,nan|nan|5.127685854523672|7.944694621650413|6.586967367604148|6.0428188651483|2.825569690572875|5.0696453607359375|,0|0|17|209|597|204|59|39|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|32|,0|0|0|7|2|14|8|1|,0|0|16|191|565|227|49|45|,0|0|0|0|0|0|0|0|,0|0|0|3|83|50|10|25|,0|0|16|188|482|177|39|20|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
124,0|1|2|3|4|5|6|7|,0|0|0|0|0|778|119|25|,nan|nan|nan|nan|nan|201.93618907740415|211.94674388734802|228.18383389932305|,nan|nan|nan|nan|nan|17.32893870026794|25.419243453729635|18.451328850385625|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,0|0|16|188|482|177|39|20|,nan|nan|155.26983764213014|180.33546642466706|202.98786189307432|222.6358383541035|239.8335955209461|252.25126678657006|,nan|nan|3.5048341343668765|7.557866064969488|7.220693740064979|5.550593705030718|2.7801107285490945|6.229030773286262|,0|0|9|142|435|258|49|29|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|64|,0|0|3|6|16|16|15|8|,0|0|4|128|409|256|35|26|,0|0|0|0|0|0|0|0|,0|0|0|2|68|81|7|15|,0|0|4|126|341|175|28|11|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
125,0|1|2|3|4|5|6|7|,0|0|0|0|0|0|620|65|,nan|nan|nan|nan|nan|nan|205.0635943901004|213.6474799508565|,nan|nan|nan|nan|nan|nan|17.356781297981616|22.242427849669415|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,0|0|4|126|341|175|28|11|,nan|nan|156.28631196991455|179.95309929342918|203.58060037076154|221.98324164815767|238.87950117036667|251.87281019896963|,nan|nan|2.410844808824409|7.664946841734119|6.673188115290048|5.206695951084494|2.738490292617549|4.552870931305771|,0|0|3|103|320|215|29|15|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|363|,0|0|2|52|172|115|15|7|,0|0|1|51|143|102|16|9|,0|0|0|0|0|0|0|0|,0|0|0|1|1|18|6|1|,0|0|1|50|142|84|10|8|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
126,0|1|2|3|4|5|6|7|,0|0|0|0|0|0|0|295|,nan|nan|nan|nan|nan|nan|nan|207.40013188009178|,nan|nan|nan|nan|nan|nan|nan|17.689101048998264|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,0|0|1|50|142|84|10|8|,nan|nan|158.5459397814978|180.79444187838618|203.96095829840877|221.81221067915936|238.57424021933744|250.54333666368197|,nan|nan|0.0|7.311733912944958|6.41048571777279|4.8921058233009|2.38158419100774|5.188791378577413|,0|0|0|44|140|91|12|8|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|136|,0|0|0|21|60|42|8|5|,0|0|0|23|78|51|4|3|,0|0|0|0|0|0|0|0|,0|0|0|0|1|0|0|0|,0|0|0|23|77|51|4|3|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
127,0|1|2|3|4|5|6|7|,0|0|0|0|0|0|0|158|,nan|nan|nan|nan|nan|nan|nan|208.89022271491632|,nan|nan|nan|nan|nan|nan|nan|16.505739155929994|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,0|0|0|23|77|51|4|3|,nan|nan|nan|181.2200854739438|204.76873479546882|222.98779719682048|238.49332533504904|247.68322847564397|,nan|nan|nan|7.7396127482252|6.529803218555324|5.00295580651957|2.8792576357429582|0.6761312522804959|,0|0|0|20|78|52|5|3|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|79|,0|0|0|9|41|23|5|1|,0|0|0|11|37|29|0|2|,0|0|0|0|0|0|0|0|,0|0|0|0|3|0|0|0|,0|0|0|11|34|29|0|2|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
128,0|1|2|3|4|5|6|7|,0|0|0|0|0|0|0|76|,nan|nan|nan|nan|nan|nan|nan|210.49368667722894|,nan|nan|nan|nan|nan|nan|nan|15.96255415590427|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,0|0|0|11|34|29|0|2|,nan|nan|nan|183.52344843535485|205.7145344998405|223.69933904750653|nan|248.59362465411527|,nan|nan|nan|4.7148455124269635|6.930303948074338|5.073590954880795|nan|1.1450592811349907|,0|0|0|10|32|31|1|2|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|42|,0|0|0|6|20|14|0|2|,0|0|0|4|11|18|1|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|4|11|18|1|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
129,0|1|2|3|4|5|6|7|,0|0|0|0|0|0|0|34|,nan|nan|nan|nan|nan|nan|nan|212.39031775515406|,nan|nan|nan|nan|nan|nan|nan|13.392879116521417|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,0|0|0|4|11|18|1|0|,nan|nan|nan|186.05211563106585|205.57617542281423|221.11880811369252|235.58586545355408|nan|,nan|nan|nan|1.7695691803924236|6.551345597064052|4.824437634423583|0.0|nan|,0|0|0|4|11|18|1|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|18|,0|0|0|2|9|6|1|0|,0|0|0|2|2|12|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|1|0|0|,0|0|0|2|2|11|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
130,0|1|2|3|4|5|6|7|,0|0|0|0|0|0|0|15|,nan|nan|nan|nan|nan|nan|nan|215.22549330638273|,nan|nan|nan|nan|nan|nan|nan|12.467157982029306|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,0|0|0|2|2|11|0|0|,nan|nan|nan|187.5433481329448|206.81785333193807|221.78727242417955|nan|nan|,nan|nan|nan|1.0107399853461203|0.5699731297418253|4.05812264113366|nan|nan|,0|0|0|2|2|11|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|6|,0|0|0|0|1|5|0|0|,0|0|0|2|1|6|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|2|1|6|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
131,0|1|2|3|4|5|6|7|,0|0|0|0|0|0|0|9|,nan|nan|nan|nan|nan|nan|nan|213.03317131550529|,nan|nan|nan|nan|nan|nan|nan|14.659051937301973|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,0|0|0|2|1|6|0|0|,nan|nan|nan|187.82963262808676|206.58952860036766|222.50829133050112|nan|nan|,nan|nan|nan|1.001161992957364|0.0|3.68241158898548|nan|nan|,0|0|0|2|1|6|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|7|,0|0|0|2|1|4|0|0|,0|0|0|0|0|2|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|2|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
132,0|1|2|3|4|5|6|7|,0|0|0|0|0|0|0|2|,nan|nan|nan|nan|nan|nan|nan|225.81488132088614|,nan|nan|nan|nan|nan|nan|nan|2.5969903442692726|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,0|0|0|0|0|2|0|0|,nan|nan|nan|nan|nan|225.81488132088614|nan|nan|,nan|nan|nan|nan|nan|2.5969903442692726|nan|nan|,0|0|0|0|0|2|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|2|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|2|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
133,0|1|2|3|4|5|6|7|,0|0|0|0|0|0|0|2|,nan|nan|nan|nan|nan|nan|nan|225.96657007447635|,nan|nan|nan|nan|nan|nan|nan|2.610640318144462|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,0|0|0|0|0|2|0|0|,nan|nan|nan|nan|nan|225.96657007447635|nan|nan|,nan|nan|nan|nan|nan|2.610640318144462|nan|nan|,0|0|0|0|0|2|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|1|,0|0|0|0|0|1|0|0|,0|0|0|0|0|1|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|1|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
134,0|1|2|3|4|5|6|7|,0|0|0|0|0|0|0|1|,nan|nan|nan|nan|nan|nan|nan|228.67652225174186|,nan|nan|nan|nan|nan|nan|nan|0.0|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,0|0|0|0|0|1|0|0|,nan|nan|nan|nan|nan|228.67652225174186|nan|nan|,nan|nan|nan|nan|nan|0.0|nan|nan|,0|0|0|0|0|1|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|1|,0|0|0|0|0|1|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
135,0|1|2|3|4|5|6|7|,0|0|0|0|0|0|0|0|,nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,0|0|0|0|0|0|0|0|,nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|,NA|NA|NA|NA|NA|NA|NA|NA|,NA|NA|NA|NA|NA|NA|NA|NA|,NA|NA|NA|NA|NA|NA|NA|NA|,NA|NA|NA|NA|NA|NA|NA|NA|,NA|NA|NA|NA|NA|NA|NA|NA|,NA|NA|NA|NA|NA|NA|NA|NA|,NA|NA|NA|NA|NA|NA|NA|NA|,NA|NA|NA|NA|NA|NA|NA|NA|,NA|NA|NA|NA|NA|NA|NA|NA|,NA|NA|NA|NA|NA|NA|NA|NA|,NA|NA|NA|NA|NA|NA|NA|NA|,NA|NA|NA|NA|NA|NA|NA|NA|,NA|NA|NA|NA|NA|NA|NA|NA|
