Year,Ages,N_Initial_Age,AgeSize_Mean,AgeSize_Std,Size_Classes,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack,Capture_Back,N_BeforePacking_AddAge0s,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut,Capture_Out,PackingDeaths_Immigration,N_Immigration,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
108,0|1|2|3|4|5|6|7|,0|1769|360|174|91|50|45|19|,nan|152.93613419462204|191.81316966612357|212.13181495843418|226.05201343027719|229.18718912414863|230.8724567171653|234.5223839714423|,nan|17.577033422109643|27.090550226681938|20.802907525049676|16.676885536308397|16.534786490921427|10.963999976815245|11.927360923772234|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,0|112|1371|296|403|225|78|23|,nan|120.53631440224136|148.4603439065155|170.02061059963756|201.258155857494|224.0257205247383|239.90037693949284|251.85321837642482|,nan|3.714545928911683|7.945082125454108|7.280591601133525|8.170912754342405|5.808905028708163|2.717945599653197|5.2189750059681765|,0|165|5949|4623|364|326|108|83|,0|162|5527|3357|64|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|36|,0|0|0|0|1|19|13|3|,0|74|4847|5579|533|336|117|96|,0|0|0|0|0|0|0|0|,0|0|3410|5394|110|107|39|70|,0|74|1437|185|423|229|78|26|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
109,0|1|2|3|4|5|6|7|,0|1744|305|190|106|55|33|19|,nan|153.9860586599834|189.70821842826592|217.90107884661057|223.9749957139947|228.87739457735574|231.537497495986|235.06753160315193|,nan|17.803980797984035|26.05446082945084|17.49030978018669|14.682566826117643|14.54859157316691|17.18688809714693|11.855671471681214|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,0|74|1437|185|423|229|78|26|,nan|120.47244517252383|149.06179290924078|171.26386340608843|200.60810235512756|224.29543951640707|239.47207550597153|251.93260582075047|,nan|4.514730994633731|7.8769949041803615|7.737020883174148|7.904474149481176|5.767415981093541|2.852675966252418|5.651298497858137|,0|202|6097|4391|365|302|129|76|,0|200|5693|3160|57|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|26|,0|0|0|0|2|9|8|7|,0|111|4835|5453|578|330|135|94|,0|0|0|0|0|0|0|0|,0|0|3264|5226|121|103|50|73|,0|111|1571|227|457|227|85|21|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
110,0|1|2|3|4|5|6|7|,0|1952|341|166|123|72|30|15|,nan|153.51457342148043|188.9877436800541|214.86064005541783|226.54393826489215|228.2789504923933|229.71326823138264|229.77532700999672|,nan|18.399801861046306|26.895638692650422|18.233895766656225|13.527020080138001|12.076172842530525|14.07207145784001|12.872206042209955|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,0|111|1571|227|457|227|85|21|,nan|119.90561044993798|148.9579319629303|170.34314478908496|200.98480527056807|224.4297734272231|239.58036512608965|250.51798113225388|,nan|4.494184268817073|8.131072647643927|7.333928561263384|8.200129444081446|5.51228064866099|2.813702730320239|3.890682550074702|,0|207|6136|4539|389|351|110|77|,0|202|5673|3161|74|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|26|,0|0|0|0|4|9|10|3|,0|96|4801|5764|529|377|124|92|,0|0|0|0|0|0|0|0|,0|0|3222|5577|96|148|44|69|,0|96|1579|187|433|229|80|23|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
111,0|1|2|3|4|5|6|7|,0|1885|360|154|101|69|47|11|,nan|153.52975924020902|187.78740454849066|217.4851475161764|224.87585936498405|228.88251875134594|230.80102457806635|228.63290047067719|,nan|18.17483702759245|28.2233768950184|18.880074641965106|15.362675324804298|12.779107471058696|11.369540780144796|9.890841256873255|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,0|96|1579|187|433|229|80|23|,nan|119.42070187700016|149.10390787147972|171.28345634846573|201.11703966491459|224.5117989670371|239.51236450596815|251.3220272841766|,nan|4.661766666529579|8.23463535646856|7.9557399032709615|8.369729166647595|5.796832168501323|2.905268154446213|4.84168568202955|,0|199|6177|4467|365|332|123|74|,0|194|5742|3102|72|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|26|,0|0|0|0|1|15|9|1|,0|111|5017|5518|500|344|124|97|,0|0|0|0|0|0|0|0|,0|0|3588|5273|82|120|35|83|,0|111|1429|245|418|224|89|14|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
112,0|1|2|3|4|5|6|7|,0|1813|341|176|81|59|43|17|,nan|153.79728228998346|190.4570015168939|217.26318254454452|225.04178981061122|226.4502275668845|228.6480782489829|231.97755131143072|,nan|18.573647523785016|28.1941235101601|18.623773086500748|16.57464632871292|14.693560248754775|10.960736899933837|12.053229349805646|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,0|111|1429|245|418|224|89|14|,nan|119.84811948472229|149.03464001432917|170.6153620028667|201.26026601443118|224.52200858306736|239.56384134838618|254.8397174513112|,nan|4.290599734323033|8.094693289950964|7.580451117375936|8.13827711159738|5.356454941460337|2.917287594587551|7.560961378514572|,0|198|6061|4508|330|337|133|73|,0|194|5626|3233|57|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|29|,0|0|0|0|1|13|12|3|,0|104|4784|5630|518|346|135|94|,0|0|0|0|0|0|0|0|,0|0|3296|5447|126|105|53|75|,0|104|1488|183|392|241|82|19|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
113,0|1|2|3|4|5|6|7|,0|1799|340|169|100|47|34|20|,nan|152.91665714038828|192.06434129797023|218.1669721014438|225.3699952789622|228.79103710793208|226.87118924262214|229.7723377255188|,nan|17.78133986371231|27.371753149033385|18.847328384965433|16.28276389362051|15.2485749971276|11.632052116277407|11.753957660155395|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,0|104|1488|183|392|241|82|19|,nan|119.51584693226103|149.14201387184931|171.06594968107572|201.0413902872487|223.90879008603653|239.51233620008293|252.63776300495087|,nan|5.129400387576558|8.165572072234038|6.848415064274137|8.078900601361484|5.621603211121942|2.9771786086589684|3.931745186708749|,0|214|6229|4331|330|323|119|73|,0|206|5773|3077|54|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|30|,0|0|0|0|2|18|7|3|,0|103|4869|5563|494|337|128|95|,0|0|0|0|0|0|0|0|,0|0|3423|5353|83|138|55|81|,0|103|1446|210|411|199|73|14|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
114,0|1|2|3|4|5|6|7|,0|1789|322|168|88|51|24|14|,nan|153.55822118321527|187.48505299928053|215.46216903625867|225.18702333315161|226.68638278160788|227.68220293096874|227.75078904972383|,nan|18.07423292506732|28.861908237932283|21.22904905108861|15.69054742048719|12.830913389554729|14.45500159328306|11.605460951687254|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,0|103|1446|210|411|199|73|14|,nan|119.9869787221536|148.94132019054334|169.4448926875767|200.17856205481172|224.73574404135502|239.72477311151405|250.4922056181608|,nan|5.284597519548716|8.023298954062698|6.517533131173442|7.892475991768138|5.6771379989165185|2.8939245037685297|5.867687028899266|,0|185|6063|4490|369|283|104|72|,0|178|5643|3216|73|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|22|,0|0|0|0|4|7|8|3|,0|99|4887|5511|537|315|106|89|,0|0|0|0|0|0|0|0|,0|0|3375|5326|137|74|37|70|,0|99|1512|185|400|241|69|19|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
115,0|1|2|3|4|5|6|7|,0|1808|346|169|100|58|34|10|,nan|153.26258609266415|189.9666787124663|214.88659138117143|225.48320924197114|228.42329176487235|228.29547189279694|228.6396717312537|,nan|17.915645117365127|28.22704549947754|21.791397897221447|14.052443645918888|14.896221784818026|11.623131864347913|10.421542807012898|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,0|99|1512|185|400|241|69|19|,nan|118.89386027453868|149.1837812653203|171.7727172779238|201.39558250156514|224.10217241310255|239.6036717126094|251.29173708326596|,nan|5.444328295896853|7.825954194186463|7.492506487235536|8.046712956808843|5.974459293468983|2.8960484902347075|4.344772088385316|,0|229|6250|4286|358|335|104|73|,0|221|5794|3029|66|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|21|,0|0|0|0|1|13|4|3|,0|115|5118|5360|463|344|121|93|,0|0|0|0|0|0|0|0|,0|0|3760|5124|75|87|48|65|,0|115|1358|236|388|257|73|28|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
116,0|1|2|3|4|5|6|7|,0|1732|318|180|98|65|45|17|,nan|153.14044888407346|191.34719683891313|215.91948696452496|225.2997476781448|230.11641618401092|231.14431034132232|228.54016042958|,nan|18.159872024246386|27.832215304814646|19.48164038911963|16.176840221496757|13.249914690481036|13.626336351189558|12.63101207920435|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,0|115|1358|236|388|257|73|28|,nan|119.91996583864972|148.82075382377658|170.00150192637417|201.2820179483729|224.28080764313165|239.41819435473437|251.85499277780673|,nan|4.843334620956536|8.0571646833968|6.870399431125962|8.134880820407396|5.963036183778012|2.661708049210952|4.757629857570205|,0|216|6141|4319|365|324|122|78|,0|208|5706|3128|68|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|38|,0|0|0|0|2|21|11|4|,0|103|4946|5425|484|346|122|101|,0|0|0|0|0|0|0|0|,0|0|3581|5182|61|111|48|78|,0|103|1365|243|423|235|74|23|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
117,0|1|2|3|4|5|6|7|,0|1747|324|176|103|64|36|16|,nan|154.1950396410403|188.39509374544832|217.16961407796987|223.7663052644067|230.38430857309058|232.07910476105852|232.28028245135357|,nan|18.855635444166662|27.487144138977552|19.26540990013147|16.697288971792897|12.556894382860376|13.22203609228914|15.784848020366919|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,0|103|1365|243|423|235|74|23|,nan|119.59692106279341|148.8268322691579|171.5415099573962|200.73414790812177|225.09285925521877|239.41309037983774|253.42709438875372|,nan|4.367772697938095|8.269558819131781|7.29200923504259|8.129770759211299|6.068917287541199|2.765177937801019|5.933681459694697|,0|196|6167|4325|369|312|140|67|,0|191|5753|3110|56|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|30|,0|0|0|0|1|13|9|7|,0|114|5046|5315|514|340|131|86|,0|0|0|0|0|0|0|0|,0|0|3722|5022|82|89|58|68|,0|114|1324|293|432|251|73|18|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
