"PatchID","XCOORD","YCOORD","ID","MID","FID","sex","age","size","mature","newmature","layeggs","capture","recapture","state","CDist","Hindex","Species","ClassFile","SubPatchID","L0A0","L0A1","L1A0","L1A1","L2A0","L2A1","L3A0","L3A1"
1,56758.45394,381341.8208,"S1_F10_m1f1_P10_Y5_UO25","I1_F33_m1f1_P33_Y3_UO26","ID1_F33_m9f9_P10_Y3_UO538","FXX",1,0,0,0,0,0,0,0,6619,0.625,1,"P0_CV0",1,2,0,1,1,0,2,0,2
1,56758.45394,381341.8208,"S1_F10_m9f9_P10_Y5_UO622","ID9_F18_m-1f-1_P9_Y-1_U20","ID9_F44_m1f1_P44_Y3_UO85","FXX",1,0,0,0,0,0,0,0,-9999,0.5,1,"P8_CV0",1,0,2,2,0,0,2,0,2
1,56758.45394,381341.8208,"S1_F44_m1f1_P44_Y5_UO50","I1_F33_m1f1_P10_Y1_UO1","I1_F44_m1f1_P44_Y3_UO10","FXX",1,0,0,0,0,0,0,0,-9999,0.3125,1,"P0_CV0",1,1,1,1,1,0,2,0,2
1,56758.45394,381341.8208,"I1_F33_m9f9_P44_Y4_UO558","I9_F33_m77f77_P10_Y0_UO3550","I9_F18_m9f9_P10_Y2_UO552","FXX",2,0,1,0,1,0,0,0,-9999,0.25,1,"P0_CV0",1,0,2,0,2,0,2,0,2
1,56758.45394,381341.8208,"I1_F33_m9f9_P33_Y3_UO522","ID9_F10_m1f1_P10_Y0_UO2","I9_F33_m9f9_P33_Y1_UO495","FXX",3,0,1,0,1,0,0,0,-9999,1,1,"P0_CV0",1,2,0,2,0,0,2,0,2
1,56758.45394,381341.8208,"I1_F10_m77f77_P10_Y2_UO3313","I77_F10_m-1f-1_P77_Y-1_U186","I77_F33_m-1f-1_P77_Y-1_U218","MXY",4,0,1,0,0,0,0,0,-9999,0.75,1,"P76_CV0",1,1,1,2,0,0,2,0,2
1,56758.45394,381341.8208,"ID1_F33_m9f9_P33_Y0_UO485","R9_F9_m-1f-1_P9_Y-1_U7","R9_F9_m-1f-1_P9_Y-1_U169","MXY",6,0,1,0,0,0,0,0,-9999,0.75,1,"P8_CV0",1,1,1,1,1,0,2,0,2
1,56758.45394,381341.8208,"I1_F33_m-1f-1_P9_Y-1_U234","-9999","-9999","FXX",16,0,1,0,1,0,0,0,7578,0.5,1,"P8_CV0",1,1,1,1,1,0,2,0,2
3,338102.6853,-1366704.895,"S3_F59_m3f3_P59_Y5_UO144","ID3_F64_m16f16_P59_Y2_UO877","ID3_F59_m3f3_P59_Y2_UO96","MXY",1,0,0,0,0,0,0,0,-9999,0.5,1,"P15_CV0",1,1,1,0,2,0,2,0,2
3,338102.6853,-1366704.895,"S3_F59_m3f3_P59_Y5_UO164","I3_F59_m3f3_P59_Y1_UO146","ID3_F59_m56f56_P59_Y1_UO2464","FXX",1,0,0,0,0,0,0,0,-9999,0.625,1,"P55_CV0",1,0,2,2,0,0,2,0,2
3,338102.6853,-1366704.895,"S3_F64_m3f3_P64_Y5_UO168","I3_F64_m3f3_P59_Y0_UO100","I3_F64_m79f79_P59_Y3_UO3447","MXY",1,0,0,0,0,0,0,0,-9999,0.375,1,"P2_CV0",1,0,2,0,2,0,2,0,2
3,338102.6853,-1366704.895,"I3_F59_m3f3_P59_Y4_UO136","ID3_F59_m3f3_P59_Y2_UO107","I3_F59_m-1f-1_P3_Y-1_U83","MXY",2,0,1,0,0,0,0,0,-9999,0.3125,1,"P2_CV0",1,1,1,1,1,0,2,0,2
3,338102.6853,-1366704.895,"I3_F59_m16f16_P59_Y3_UO837","I16_F59_m79f79_P59_Y0_UO3774","I16_F59_m-1f-1_P16_Y-1_U171","FXX",3,0,1,0,1,0,0,0,-9999,0.5,1,"P15_CV0",1,0,2,2,0,0,2,0,2
3,338102.6853,-1366704.895,"I3_F59_m17f17_P64_Y2_UO913","I17_F64_m95f95_P64_Y0_UO4705","I17_F64_m-1f-1_P79_Y-1_U116","MXY",4,0,1,0,0,0,0,0,-9999,0.375,1,"P78_CV0",1,1,1,1,1,0,2,0,2
3,338102.6853,-1366704.895,"I3_F59_m-1f-1_P3_Y-1_U147","-9999","-9999","FXX",7,0,1,0,1,0,0,0,8537,1,1,"P2_CV0",1,2,0,1,1,0,2,0,2
